職位名稱,工作地點,工作內容,擅長工具,工作技能,其它條件
65240-軟體工程師(台北新生/汐止),新北市汐止區中興路22號,1.軟體開發與測試2.系統分析與設計3.,,,經歷: 相關工作經驗 1 年以上 /  
前端工程師_治略資訊整合股份有限公司,台北市中正區忠孝東路二段25號3樓,工作內容與職責1.熟練Web前端頁面開發,HTML、JavaScript,,加分項目：1.熟悉uBuntu系統操作。
數據工程師(Cloud)_勤崴國際科技股,台北市中正區羅斯褔路二段100號4樓,1.分析數據資料2.Azure Clou,Linux、Python,,1.需擅長Flask、SPARK、SQL
Shopee APP - Full St,台北市信義區菸廠路88號,1. 使用CRA的TypeScript版,PL/SQL,網頁語法撰寫、網頁軟體操作,1.應徵請務必附上作品集2. 兩年以上前
C# Developer (Fintec,台北市信義區基隆路一段200號1樓,1. 系統需求分析 2. 前、後台系統設,,,
Radio Frequency Hard,新北市新店區,Minimum qualificatio,,,
【2019校園徵才專區】系統所-程式設計,台北市松山區民生東路四段133號,依各單位需求，以下A.B.C.D項目擇一,,,須精通至少一種程式語言：Java、Jav
Backend Developer_帥哥,台北市信義區松高路,必備技能:1.In-depth know,,,加分項目： 1.Worked with 
Backend Engineer(需熟P,台北市中正區南海路1號13樓(金融科技創,【好好技能】1.具獨立以 Python開,,,加分條件 (非必備要件，具備則加分)：1
【AI】程式設計師_唯晶科技股份有限公司,台北市內湖區瑞湖街158號,1. 模組功能的設計、開發與實施；2. ,UML、Python、MySQL、Ora,,1. 4年以上後端開發經驗；2. 熟悉P
網站後台開發工程師-python_正美企,台北市南港區南港路三段52號9樓,部門主要服務範圍如下：1.產業溯源應用服,Linux、PHP、Python,,1.２年以上動態網站的開發經驗2.精通P
Sr. Backend Engineer,台北市內湖區台北市內湖區瑞光路423號4,Orbweb Inc. is looki,,,
Full-Stack Web Appli,台北市南港區,Great Tech! Great Te,MySQL、DHTML、HTML,,‧ Have working exper
後端軟體工程師_Advantech_研華,台北市內湖區瑞光路26巷20弄1號,基於Cloud Platform環境下，,,,工作技能與專長 1.熟悉Python o
Python後端工程師(IoT物聯網)_,台北市松山區,1.開發具有高延展性、高穩定性的後端基礎,Linux、Python,,1.兩年以上後端程式開發經驗2.熟悉Fl
Openstack Devop Engi,台北市內湖區基湖路三巷9號5樓之3,1. 熟悉任一 Language Pyt,Python、Go,,以下為加分條件:a. 任一靜態語言一年以
後端工程師_龎帝數位資訊有限公司,新北市新店區民權路108號4樓之B,1. 負責龎帝線上教學平台的測試、文件製,Python、MySQL,軟體工程系統開發,"能力及條件- 熟悉 Python, 使用"
智慧水務專長、電腦視覺AI專長工程師_興,台北市中正區思源街18號3F,【智慧水務專長 】(水利工程或CAE專業,C++、FORTRAN、Java、Mat,,1.認真負責、有效管理時間、創新學習、可
Backend/DevOps Engin,台北市松山區民權東路3段178號4樓,【 About the role 】:D,Linux、Python,,・Required tools：Linu
Sr. Backend Engineer,台北市大安區敦化南路二段180號6樓,•負責 Backend 新功能開發與維護,Linux、Python、MySQL、P,軟體程式設計,Required Qualificati
前端數據工程師(Frontend Dat,台北市大安區仁愛路四段296號16樓,【工作內容】主要職責：數據產品的網頁前端,,,符合其中條件者尤佳：1.熟悉分析繪圖，如
數位研發專業人員-Full Stack ,台北市信義區松仁路7號,"1. Design, build, an",,,1. 3+ years of profe
Web全端工程師_興創知能股份有限公司,台北市中正區思源街18號3F,1. 負責網站UI規劃，Web前後端程式,Python、Access、HTML、J,,1.認真負責、有效管理時間、創新學習、可
Data Scientist 資料科學家,台北市信義區基隆路一段333號18樓,CloudMile is a young,,,
(研發設計類)-雲端工程師-智慧系統處_,台北市中山區中山北路三段22號,"1. 建構雲端服務 (Azure, AW",,,"基本能力：1. HTML5, CSS, "
[遊戲應用部] Python 工程師_奇,台北市內湖區陽光街321巷8號10樓,1. 遊戲伺服器端架構設計、邏輯開發、優,Linux、Python、MySQL,,1. 熟悉Python開發(Django
軟體工程師 （NLP及圖片deep le,台北市內湖區瑞光路513巷30號3樓,協助客戶透過資料解決商業問題，運用數據驅,Python、Data Modeling,軟體工程系統開發、韌體工程開發、功能測試,高度自我要求，自主成長者佳。
Senior Software Deve,新北市新店區建國路276號2樓,職責要求： 1. 從事 Web 開發相關,Linux、Python、JavaScr,軟體程式設計、資料庫系統管理維護、網路規,
知名科技公司誠徵Python 後端工程師,台北市松山區,1. 負責公司平台後端開發 2. 負責公,,,1) 一年以上 Flask 網站開發經驗
python程式開發工程師(台北)_友宏,台北市南港區南港軟體園區三重路19-11,1、具Python爬蟲、自動化程式開發能,Linux、Python,軟體程式設計,
後端工程師 Backend Engine,台北市松山區敦化北路145巷12號3樓,[iCHEF Engineering對工,Python、Ruby、MySQL,,"＊2 年以上大型前端或後端架構開發經驗,"
運維工程師_天旭國際科技有限公司,台北市信義區信義路五段7號15樓B室,1.	與後端開發、前端開發、及專案負責人,,,1.	熟悉基礎網路知識架構、HTTP/H
Junior Software Deve,新北市新店區建國路276號2樓,職責要求： 1. 從事 Web 開發相關,Linux、Python、JavaScr,軟體程式設計,
資料分析研發工程師 (Python)_大,台北市中山區,本公司為專業社群資料分析廠商，提供網路社,Linux、OOP、Python、Dat,系統架構規劃、系統維護操作、軟體工程系統,1.有能力自主學習，熱愛技術研究2.主動
[和泰汽車集團  和泰聯網] 網頁全端開,台北市中山區松江路433號12樓,<職務內容> 1.撰寫系統前端互動式UI,HTML、JavaScript、jQue,軟體程式設計、網路程式設計、資料庫程式設,加分條件1.	熟悉python flas
Python 全端網站工程師(集團總公司,台北市松山區民生東路三段129號10樓,使用 PYTHON 進行設計與開發，網站,,普通小型車,本工作將與IT團隊合作，以Python為
Google Cloud Platfor,台北市信義區基隆路一段333號18樓,CloudMile is a young,,,
數據平台專業人員- Frontend D,台北市信義區,1.數據服務環境的網頁機制設計規劃與開發,,,1.愛好自我學習、探索與分享的態度2.熟
數據平台專業人員-Full Stack ,台北市信義區,1. 數據服務環境的網頁機制設計規劃與開,,,1. 愛好自我學習、探索與分享的態度2.
後端軟體工程師_臺智生醫股份有限公司,台北市大安區敦化南路二段40號3樓,[工作內容]1. 負責管理系統/自動化基,Linux、Python、RDBMS,,
Python 後端資深工程師_金永利科技,台北市松山區八德路3段164號2樓之5,1.  負責公司平台後端開發2.  負責,,,1) 一年以上 Flask 網站開發經驗
Python軟體開發工程師_淮南寰宇股份,新北市三重區重新路四段97號20樓,1.承接專案主管交付功能項目開發。2.撰,,,1.本職缺為集團子公司代徵，相關福利制度
軟體工程師（伺服器）_鈦甲數位科技股份有,台北市內湖區瑞光路583巷31號2樓,工作內容：- 開發遊戲伺服器。- 協助營,,,- 溝通能力良好。- 願意學習，樂於分享
資深網頁前端開發工程師(製造業雲端解決方,台北市信義區,此職務需要在一個現有的雲端平台上進行架構,Java、JSP、JDBC、HTML、J,系統架構規劃、系統整合分析、軟體工程系統,懂以下技術者更佳Hteml5CSS3Vu
Python Web Developer,台北市內湖區瑞光路186號,We are looking for a,,,※ExperienceWork on d
Python開發工程師(cloud)(A,台北市內湖區新湖二路329號2樓,Job Responsibilities,Python、MS SQL,,
AD30068 Sr. Software,台北市北投區,1.	雲端Data Platform 加,Java、Oracle、JavaScri,,*具備RESTful API開發能力. 
